pnns_groups_1,prediction
unknown,0
unknown,9
unknown,8
unknown,8
Fat and sauces,3
unknown,0
Sugary snacks,9
unknown,0
unknown,0
unknown,8
unknown,9
Fat and sauces,3
Fish Meat Eggs,6
unknown,8
unknown,8
unknown,6
Fat and sauces,3
Fat and sauces,8
unknown,8
unknown,6
unknown,8
unknown,10
Fat and sauces,3
unknown,6
Cereals and potatoes,9
unknown,8
Sugary snacks,8
Fat and sauces,8
Fat and sauces,8
Cereals and potatoes,9
unknown,10
Sugary snacks,0
unknown,8
unknown,6
Sugary snacks,6
Fat and sauces,8
unknown,0
unknown,8
unknown,8
Sugary snacks,10
unknown,10
Sugary snacks,10
Fish Meat Eggs,8
unknown,3
unknown,0
Beverages,9
Composite foods,8
Cereals and potatoes,8
unknown,6
Composite foods,8
unknown,3
unknown,6
unknown,6
unknown,6
unknown,8
unknown,6
unknown,6
Fat and sauces,3
unknown,8
Composite foods,8
unknown,3
unknown,6
Cereals and potatoes,9
unknown,6
Beverages,8
unknown,6
unknown,6
unknown,8
unknown,8
Cereals and potatoes,9
unknown,8
unknown,6
unknown,8
unknown,8
unknown,6
unknown,6
unknown,6
unknown,8
unknown,8
unknown,8
Sugary snacks,6
Beverages,8
Fruits and vegetables,8
Salty snacks,3
unknown,8
unknown,6
unknown,6
Sugary snacks,9
Sugary snacks,10
unknown,6
unknown,10
unknown,10
Salty snacks,9
unknown,9
Cereals and potatoes,9
unknown,6
Sugary snacks,0
Sugary snacks,0
unknown,9
unknown,9
Composite foods,8
Fruits and vegetables,8
unknown,8
Composite foods,9
unknown,8
Fish Meat Eggs,6
Sugary snacks,0
Fat and sauces,3
Fat and sauces,8
Sugary snacks,0
Sugary snacks,0
Cereals and potatoes,9
unknown,0
Fat and sauces,8
unknown,10
Composite foods,0
unknown,9
unknown,8
unknown,8
unknown,8
unknown,6
unknown,9
unknown,9
unknown,3
unknown,6
unknown,0
unknown,8
unknown,10
unknown,8
unknown,8
unknown,8
Sugary snacks,0
unknown,0
unknown,0
unknown,0
Fat and sauces,8
Beverages,8
Beverages,8
unknown,8
unknown,6
Sugary snacks,9
unknown,8
unknown,9
unknown,8
unknown,8
unknown,8
unknown,8
unknown,8
unknown,8
unknown,8
unknown,8
Beverages,8
unknown,8
unknown,8
Sugary snacks,0
Sugary snacks,3
Sugary snacks,0
Sugary snacks,0
Sugary snacks,0
Sugary snacks,0
Sugary snacks,0
Sugary snacks,0
Sugary snacks,0
Sugary snacks,0
unknown,0
Sugary snacks,0
Sugary snacks,0
unknown,0
Fruits and vegetables,8
Sugary snacks,8
Sugary snacks,8
Sugary snacks,8
Cereals and potatoes,0
Sugary snacks,0
Sugary snacks,0
Sugary snacks,0
Sugary snacks,0
Sugary snacks,0
unknown,8
Sugary snacks,0
unknown,8
unknown,0
unknown,3
unknown,8
unknown,6
unknown,8
unknown,6
unknown,9
Cereals and potatoes,9
unknown,6
unknown,8
unknown,3
Salty snacks,3
unknown,3
unknown,3
unknown,3
unknown,3
unknown,0
unknown,9
unknown,3
Salty snacks,6
unknown,3
Beverages,8
unknown,8
unknown,8
Sugary snacks,0
Sugary snacks,0
Sugary snacks,0
unknown,9
unknown,9
unknown,10
Beverages,10
Sugary snacks,10
Sugary snacks,10
Sugary snacks,10
Sugary snacks,10
Sugary snacks,10
unknown,10
Sugary snacks,10
unknown,9
unknown,10
unknown,0
Sugary snacks,10
unknown,9
Sugary snacks,0
Sugary snacks,0
Sugary snacks,0
Sugary snacks,0
unknown,8
unknown,8
Sugary snacks,0
Sugary snacks,0
unknown,0
Cereals and potatoes,3
Fish Meat Eggs,6
Composite foods,9
Cereals and potatoes,9
unknown,8
Fish Meat Eggs,8
unknown,8
unknown,8
Beverages,8
unknown,8
Sugary snacks,9
Salty snacks,3
unknown,10
Composite foods,9
Beverages,8
Sugary snacks,0
Sugary snacks,0
unknown,8
Milk and dairy products,0
Sugary snacks,8
Composite foods,0
unknown,9
Salty snacks,3
Cereals and potatoes,9
unknown,8
unknown,8
unknown,0
unknown,8
Milk and dairy products,8
unknown,8
unknown,8
unknown,9
Composite foods,8
unknown,0
Fat and sauces,0
unknown,10
unknown,8
Fat and sauces,8
unknown,8
unknown,8
unknown,8
Sugary snacks,10
unknown,8
Fruits and vegetables,8
Beverages,8
unknown,8
Fat and sauces,8
unknown,8
unknown,0
Sugary snacks,0
Milk and dairy products,6
unknown,6
unknown,8
unknown,8
unknown,8
unknown,8
Composite foods,8
unknown,8
unknown,6
unknown,8
unknown,9
Sugary snacks,0
Sugary snacks,0
Fish Meat Eggs,6
unknown,9
Fat and sauces,0
unknown,6
Fat and sauces,8
unknown,8
Cereals and potatoes,9
unknown,9
Fish Meat Eggs,6
unknown,8
Salty snacks,9
Cereals and potatoes,8
unknown,0
unknown,0
Salty snacks,9
unknown,8
unknown,0
unknown,8
unknown,8
Milk and dairy products,8
unknown,9
unknown,0
unknown,0
unknown,6
unknown,6
unknown,9
unknown,9
unknown,8
unknown,8
Milk and dairy products,6
unknown,8
unknown,3
unknown,3
unknown,8
unknown,3
unknown,8
unknown,8
unknown,8
unknown,8
unknown,9
unknown,3
unknown,9
Composite foods,8
unknown,10
unknown,8
unknown,9
unknown,9
Cereals and potatoes,9
unknown,9
unknown,8
Composite foods,8
Beverages,8
unknown,6
Sugary snacks,0
unknown,0
Sugary snacks,0
Composite foods,6
unknown,0
unknown,6
unknown,6
unknown,8
unknown,8
unknown,8
Sugary snacks,9
Sugary snacks,10
Fruits and vegetables,8
unknown,8
unknown,8
unknown,8
Milk and dairy products,8
unknown,8
unknown,8
Milk and dairy products,8
Milk and dairy products,8
Milk and dairy products,8
Milk and dairy products,8
Milk and dairy products,8
Milk and dairy products,8
Beverages,8
Milk and dairy products,6
Milk and dairy products,8
unknown,8
Milk and dairy products,6
Milk and dairy products,8
unknown,8
unknown,8
unknown,0
unknown,0
unknown,8
unknown,0
unknown,8
unknown,0
unknown,8
unknown,0
Milk and dairy products,9
Milk and dairy products,8
Milk and dairy products,6
Milk and dairy products,6
Milk and dairy products,6
Milk and dairy products,6
unknown,6
unknown,8
Fish Meat Eggs,8
Fish Meat Eggs,8
unknown,6
unknown,8
unknown,8
unknown,3
unknown,0
Fish Meat Eggs,6
Fish Meat Eggs,6
unknown,6
Composite foods,8
Fat and sauces,3
unknown,9
unknown,3
Fat and sauces,8
Beverages,8
Fat and sauces,8
Fat and sauces,8
unknown,3
unknown,0
unknown,8
unknown,0
unknown,3
Composite foods,8
unknown,9
Fat and sauces,8
Fruits and vegetables,8
unknown,8
unknown,6
unknown,0
unknown,10
Fish Meat Eggs,8
unknown,9
unknown,9
unknown,9
unknown,6
unknown,8
unknown,8
unknown,0
Fruits and vegetables,8
Sugary snacks,9
unknown,10
unknown,9
Beverages,8
unknown,8
Milk and dairy products,8
Composite foods,9
unknown,9
Fat and sauces,3
Fat and sauces,8
unknown,8
Fruits and vegetables,8
unknown,8
Fat and sauces,8
Cereals and potatoes,8
unknown,3
unknown,3
unknown,9
Beverages,8
Milk and dairy products,8
Beverages,8
Fruits and vegetables,8
unknown,10
Beverages,8
Sugary snacks,9
Fat and sauces,8
Fruits and vegetables,8
Composite foods,8
Fruits and vegetables,8
Fruits and vegetables,8
unknown,8
Fruits and vegetables,8
Fruits and vegetables,8
Beverages,8
unknown,8
unknown,3
unknown,8
unknown,6
Fat and sauces,8
unknown,0
unknown,9
Composite foods,8
Fruits and vegetables,8
Milk and dairy products,6
unknown,3
Composite foods,8
unknown,8
Fish Meat Eggs,8
Cereals and potatoes,9
unknown,8
unknown,9
Beverages,8
Beverages,8
Fat and sauces,8
unknown,8
Fish Meat Eggs,8
Fish Meat Eggs,9
unknown,9
unknown,0
unknown,0
Fat and sauces,10
Cereals and potatoes,9
Cereals and potatoes,10
Milk and dairy products,8
Fruits and vegetables,8
unknown,9
Fruits and vegetables,8
Sugary snacks,0
Fruits and vegetables,9
Fruits and vegetables,9
Fruits and vegetables,9
unknown,8
Cereals and potatoes,9
unknown,0
unknown,9
Sugary snacks,0
Cereals and potatoes,9
Milk and dairy products,8
Milk and dairy products,8
Composite foods,8
Fat and sauces,8
Fat and sauces,3
unknown,8
Sugary snacks,10
Cereals and potatoes,9
unknown,9
unknown,0
Cereals and potatoes,9
Fruits and vegetables,8
Sugary snacks,10
Composite foods,8
Sugary snacks,0
Cereals and potatoes,9
Cereals and potatoes,9
Sugary snacks,0
Cereals and potatoes,9
unknown,8
Composite foods,8
Sugary snacks,10
unknown,0
Milk and dairy products,6
Fruits and vegetables,8
Cereals and potatoes,9
Cereals and potatoes,9
unknown,9
Fat and sauces,8
Beverages,8
Salty snacks,8
Milk and dairy products,8
Cereals and potatoes,9
Sugary snacks,10
unknown,9
unknown,6
Milk and dairy products,8
Cereals and potatoes,8
Salty snacks,8
Milk and dairy products,6
unknown,8
Cereals and potatoes,9
unknown,8
unknown,8
Fruits and vegetables,8
Fruits and vegetables,9
Fruits and vegetables,9
Fruits and vegetables,8
Fruits and vegetables,8
Fruits and vegetables,8
Fruits and vegetables,9
unknown,9
unknown,9
Fat and sauces,8
Fat and sauces,8
unknown,0
unknown,10
unknown,8
Milk and dairy products,8
unknown,8
Beverages,0
Cereals and potatoes,0
Cereals and potatoes,9
Fruits and vegetables,8
Fruits and vegetables,8
unknown,9
unknown,6
unknown,8
