pnns_groups_1,prediction
unknown,1
unknown,8
unknown,0
Fat and sauces,7
unknown,10
Sugary snacks,8
unknown,10
unknown,10
unknown,8
unknown,1
Fat and sauces,4
Fish Meat Eggs,0
unknown,8
unknown,0
unknown,0
Fat and sauces,7
Fat and sauces,8
unknown,8
unknown,0
unknown,0
unknown,2
Fat and sauces,7
unknown,4
Cereals and potatoes,1
unknown,8
Sugary snacks,8
Fat and sauces,8
Fat and sauces,8
Cereals and potatoes,1
unknown,2
Sugary snacks,10
unknown,8
unknown,4
Sugary snacks,0
Fat and sauces,0
unknown,10
unknown,8
unknown,8
Sugary snacks,2
unknown,2
Sugary snacks,2
Fish Meat Eggs,8
unknown,4
unknown,1
Beverages,1
Composite foods,8
Cereals and potatoes,8
unknown,1
Composite foods,0
unknown,4
unknown,9
unknown,0
unknown,9
unknown,8
unknown,4
unknown,0
Fat and sauces,7
unknown,8
Composite foods,0
unknown,4
unknown,4
Cereals and potatoes,1
unknown,9
unknown,9
unknown,9
unknown,0
unknown,0
Cereals and potatoes,1
unknown,0
unknown,0
unknown,8
unknown,8
unknown,0
unknown,0
unknown,0
unknown,8
unknown,0
unknown,8
Sugary snacks,4
Beverages,8
Fruits and vegetables,8
Salty snacks,4
unknown,0
unknown,0
unknown,4
Sugary snacks,10
Sugary snacks,2
unknown,9
unknown,2
unknown,2
Salty snacks,1
unknown,1
Cereals and potatoes,1
unknown,0
Sugary snacks,10
Sugary snacks,10
unknown,1
unknown,1
Composite foods,8
Fruits and vegetables,8
unknown,8
Composite foods,1
unknown,0
Fish Meat Eggs,0
Sugary snacks,10
Fat and sauces,7
Fat and sauces,0
Sugary snacks,10
Sugary snacks,10
Cereals and potatoes,1
unknown,8
Fat and sauces,8
unknown,2
Composite foods,10
unknown,1
unknown,8
unknown,8
unknown,8
unknown,0
unknown,4
unknown,4
unknown,10
unknown,4
unknown,10
unknown,8
unknown,2
unknown,8
unknown,8
unknown,4
Sugary snacks,10
unknown,10
unknown,9
unknown,10
Fat and sauces,8
Beverages,8
Beverages,8
unknown,8
unknown,4
Sugary snacks,0
unknown,8
unknown,1
unknown,8
unknown,8
unknown,8
unknown,8
unknown,8
Beverages,8
unknown,8
unknown,8
Sugary snacks,10
Sugary snacks,4
Sugary snacks,10
Sugary snacks,10
Sugary snacks,10
Sugary snacks,10
Sugary snacks,10
Sugary snacks,10
Sugary snacks,10
Sugary snacks,10
unknown,10
Sugary snacks,10
Sugary snacks,10
unknown,10
Fruits and vegetables,8
Cereals and potatoes,10
Sugary snacks,10
Sugary snacks,10
Sugary snacks,10
Sugary snacks,10
Sugary snacks,10
unknown,8
Sugary snacks,10
unknown,8
unknown,1
unknown,7
unknown,8
unknown,4
unknown,8
unknown,4
unknown,1
Cereals and potatoes,1
unknown,0
unknown,0
unknown,4
Salty snacks,4
unknown,4
unknown,7
unknown,4
unknown,4
unknown,10
unknown,4
unknown,4
Salty snacks,4
unknown,4
Beverages,8
unknown,8
unknown,8
Sugary snacks,1
Sugary snacks,10
Sugary snacks,1
unknown,4
unknown,1
unknown,2
Beverages,2
Sugary snacks,2
Sugary snacks,2
Sugary snacks,2
unknown,2
Sugary snacks,2
unknown,1
unknown,2
unknown,10
Sugary snacks,2
unknown,1
Sugary snacks,2
Sugary snacks,10
Sugary snacks,2
Sugary snacks,2
